iter	RMSE
0	440.437051
1	431.3700133
2	422.6276539
3	413.8628663
4	406.4429519
5	399.1603346
6	392.5864071
7	385.6772301
8	378.992041
9	372.9234517
10	367.2238135
11	362.6024468
12	356.8385192
13	353.1216065
14	348.6270689
15	343.5458995
16	339.4069678
17	335.8837067
18	332.4053782
19	329.1599449
20	325.5679951
21	322.1847239
22	318.5348183
23	314.5735307
24	312.388931
25	309.8116355
26	307.2245058
27	304.1421327
28	301.9353354
29	299.4360189
30	297.8784094
31	295.775551
32	294.0354863
33	292.1095936
34	290.5321323
35	288.51088
36	286.7846402
37	285.3916789
38	283.82413
39	282.5153723
40	281.0838137
41	279.5996068
42	277.7888266
43	277.2510243
44	275.5394231
45	274.3129728
46	272.9984255
47	272.520536
48	270.9565101
49	269.761862
50	269.0872255
51	268.3544848
52	267.4070951
53	266.6000876
54	266.1267549
55	265.2202107
56	264.5832232
57	263.1535267
58	262.467016
59	262.0634943
60	261.5186226
61	260.2157234
62	259.2727999
63	258.9191043
64	258.090541
65	256.8356339
66	256.5156035
67	255.9745138
68	254.7509991
69	254.2747947
70	253.7228576
71	253.2921221
72	252.2780354
73	251.5257269
74	250.9340024
75	250.5987413
76	250.0198809
77	249.4264117
78	248.5586827
79	248.1711891
80	247.7609371
81	247.4109283
82	246.841394
83	246.1592137
84	245.9394236
85	245.6151708
86	245.2449175
87	244.5209213
88	244.2988166
89	243.8865907
90	243.5609518
91	243.1896095
92	242.8970175
93	242.6435091
94	242.34831
95	242.1503568
96	241.6499487
97	241.352457
98	241.0231934
99	240.4629881
100	240.3930965
101	240.3295603
102	239.9196351
103	239.3210636
104	238.9885882
105	238.8318534
106	238.6614509
107	238.0667672
108	237.6224803
109	237.2298907
110	236.9490749
111	236.7496922
112	236.5713068
113	236.1661657
114	235.7034181
115	235.626261
116	235.0248955
117	234.3939978
118	234.3432286
119	233.7969432
120	233.2503513
121	233.0789778
122	232.648025
123	232.1226345
124	231.9381221
125	231.6315528
126	231.5850031
127	231.191275
128	231.0870893
129	230.8918299
130	230.8116834
131	230.6495656
132	230.0987431
133	229.8177092
134	229.4479219
135	228.8788455
136	228.5336817
137	228.2584509
138	228.0894502
139	228.0252339
140	227.9228225
141	227.185931
142	227.1288526
143	227.0221748
144	226.8129054
145	226.5841102
146	226.3773569
147	226.1402489
148	226.0028757
149	225.7407096
150	225.5814467
151	225.5543167
152	225.4447566
153	225.1150558
154	224.7503759
155	224.6599955
156	224.2091953
157	224.0280817
158	223.6535758
159	223.5058764
160	223.2704923
161	222.9124117
162	222.6048418
163	222.4068573
164	222.1870453
165	221.7287496
166	221.6650687
167	221.3254734
168	220.9038595
169	220.8847894
170	220.357762
171	219.9482243
172	219.7733863
173	219.6587174
174	219.5490654
175	219.4687191
176	219.3538321
177	219.2869906
178	219.1755353
179	218.7140454
180	218.5264168
181	218.3779412
182	217.7737724
183	217.4655485
184	217.4654937
185	217.1042331
186	216.957371
187	216.7394546
188	216.5729837
189	216.4715416
190	216.1131504
191	215.9343058
192	215.8493812
193	215.750133
194	215.6025762
195	215.4734257
196	215.4545348
197	215.3450459
198	214.8939922
199	214.3307282
200	214.0133662
201	213.964771
202	213.3141922
203	213.1530056
204	212.8292265
205	212.5003321
206	212.1825794
207	212.0576859
208	211.8705766
209	211.5669468
210	211.056029
211	210.7055661
212	210.599051
213	210.3612996
214	210.1409656
215	210.0332702
216	209.8596783
217	209.7863667
218	209.5607225
219	209.4697662
220	209.3227323
221	209.1399088
222	208.9973976
223	208.7994113
224	208.5799081
225	208.2722658
226	208.1750794
227	207.891234
228	207.8457652
229	207.6149928
230	207.5371843
231	207.3222755
232	207.1721125
233	207.0451111
234	206.8725381
235	206.7764391
236	206.6194206
237	206.3563507
238	206.2808247
239	206.0564561
240	205.848971
241	205.7125899
242	205.4885461
243	205.0623268
244	205.0505431
245	204.9807888
246	204.8634579
247	204.7390969
248	204.5357369
249	204.4068618
250	204.1415754
251	203.8453613
252	203.7713067
253	203.7575786
254	203.6339825
255	203.5243192
256	203.4578147
257	203.1959711
258	203.0938525
259	202.8957784
260	202.8329583
261	202.7315511
262	202.7016437
263	202.4320209
264	202.3491587
265	202.2162422
266	201.9188281
267	201.7544986
268	201.4783637
269	201.3631928
270	201.2221175
271	200.8977505
272	200.6680381
273	200.137724
274	199.63999
275	199.4934458
276	199.1260399
277	199.0805626
278	199.0103711
279	198.7920661
280	198.6971474
281	198.6374084
282	198.5483786
283	198.070636
284	197.9608333
285	197.8314591
286	197.534919
287	197.4768299
288	197.4006687
289	197.0899608
290	196.7864834
291	196.6652663
292	196.1608682
293	195.8804113
294	195.8007374
295	195.7458714
296	195.4515589
297	195.3412212
298	195.3300937
299	195.0776404
300	194.922834
301	194.4666189
302	194.456014
303	194.223084
304	193.9471948
305	193.8766121
306	193.7531278
307	193.3423465
308	193.2502829
309	192.789307
310	192.6023222
311	192.5513841
312	192.1215783
313	192.0796649
314	192.0042813
315	191.9873731
316	191.6569195
317	191.468858
318	191.3120054
319	191.2658535
320	191.1898599
321	190.9641742
322	190.7980088
323	190.5604283
324	190.4982575
325	190.4076733
326	190.3727009
327	190.3036127
328	190.1533259
329	190.0432674
330	189.9672812
331	189.9130718
332	189.8468975
333	189.3011767
334	189.1982134
335	189.1071561
336	188.9497861
337	188.8363581
338	188.7417968
339	188.6568747
340	188.4981219
341	188.2451745
342	188.1768595
343	188.1065618
344	187.5710721
345	187.5141283
346	187.2765989
347	187.2016258
348	186.980214
349	186.8314871
350	186.7547561
351	186.5666256
352	186.5070813
353	186.3920139
354	186.326865
355	186.2306694
