iter	Passed	Remaining
0	194	194700
1	242	120949
2	285	94906
3	341	85107
4	419	83408
5	493	81688
6	571	81104
7	626	77670
8	701	77226
9	757	74977
10	814	73266
11	884	72791
12	973	73874
13	1049	73880
14	1198	78716
15	1270	78114
16	1341	77598
17	1415	77238
18	1497	77330
19	1557	76294
20	1615	75329
21	1674	74448
22	1727	73395
23	1782	72505
24	1842	71847
25	1905	71401
26	1966	70861
27	2020	70153
28	2087	69904
29	2148	69453
30	2222	69481
31	2288	69223
32	2358	69098
33	2424	68882
34	2480	68381
35	2538	67982
36	2596	67567
37	2653	67166
38	2723	67099
39	2784	66821
40	2852	66726
41	2914	66467
42	2978	66297
43	3047	66207
44	3121	66249
45	3191	66183
46	3259	66096
47	3323	65922
48	3399	65981
49	3482	66158
50	3538	65837
51	3598	65602
52	3655	65313
53	3736	65449
54	3823	65701
55	3891	65591
56	3945	65273
57	4007	65093
58	4096	65331
59	4170	65345
60	4249	65416
61	4321	65372
62	4393	65351
63	4473	65419
64	4549	65437
65	4633	65577
66	4691	65334
67	4746	65060
68	4794	64696
69	4859	64561
70	4902	64145
71	4944	63733
72	4987	63333
73	5030	62943
74	5076	62608
75	5117	62220
76	5160	61860
77	5200	61476
78	5242	61114
79	5283	60760
80	5325	60420
81	5366	60080
82	5413	59813
83	5463	59577
84	5508	59300
85	5553	59021
86	5597	58745
87	5644	58495
88	5683	58173
89	5724	57876
90	5765	57590
91	5804	57284
92	5844	56999
93	5892	56789
94	5925	56447
95	5970	56221
96	6014	55991
97	6088	56037
98	6159	56059
99	6218	55970
100	6250	55638
101	6280	55288
102	6327	55101
103	6370	54883
104	6413	54666
105	6462	54502
106	6505	54294
107	6544	54053
108	6584	53821
109	6624	53596
110	6651	53268
111	6684	52994
112	6720	52752
113	6758	52530
114	6797	52313
115	6829	52042
116	6889	51997
117	6940	51875
118	6963	51556
119	7012	51428
120	7065	51329
121	7109	51166
122	7152	50999
123	7194	50823
124	7235	50650
125	7277	50477
126	7317	50298
127	7358	50129
128	7400	49967
129	7446	49834
130	7502	49766
131	7548	49637
132	7589	49474
133	7638	49366
134	7683	49229
135	7726	49084
136	7770	48945
137	7814	48811
138	7858	48678
139	7901	48537
140	7930	48314
141	7979	48212
142	8021	48072
143	8054	47880
144	8096	47738
145	8138	47607
146	8179	47461
147	8223	47341
148	8264	47199
149	8305	47066
150	8347	46933
151	8387	46793
152	8429	46664
153	8480	46589
154	8531	46510
155	8582	46435
156	8625	46312
157	8667	46192
158	8714	46092
159	8757	45978
160	8801	45867
161	8845	45754
162	8887	45635
163	8944	45594
164	8985	45470
165	9031	45374
166	9080	45293
167	9130	45216
168	9184	45159
169	9225	45041
170	9276	44970
171	9328	44908
172	9379	44837
173	9429	44765
174	9489	44737
175	9541	44671
176	9581	44552
177	9642	44527
178	9704	44509
179	9754	44437
180	9805	44367
181	9851	44277
182	9893	44168
183	9937	44070
184	9954	43854
185	9992	43728
186	10032	43615
187	10074	43511
188	10116	43410
189	10162	43323
190	10198	43196
191	10236	43076
192	10277	42974
193	10314	42851
194	10353	42739
195	10390	42621
196	10432	42523
197	10473	42423
198	10518	42339
199	10556	42227
200	10597	42127
201	10639	42031
202	10678	41926
203	10715	41811
204	10753	41703
205	10793	41600
206	10833	41501
207	10873	41403
208	10922	41338
209	10971	41272
210	11026	41232
211	11089	41219
212	11151	41203
213	11209	41171
214	11266	41135
215	11315	41071
216	11361	40995
217	11405	40913
218	11448	40828
219	11499	40770
220	11556	40735
221	11600	40654
222	11642	40567
223	11683	40474
224	11725	40389
225	11767	40301
226	11809	40215
227	11860	40158
228	11903	40077
229	11949	40005
230	11992	39923
231	12034	39838
232	12074	39747
233	12115	39659
234	12158	39579
235	12199	39492
236	12239	39403
237	12279	39313
238	12320	39230
239	12364	39152
240	12404	39067
241	12448	38991
242	12493	38919
243	12536	38842
244	12585	38784
245	12628	38706
246	12668	38619
247	12707	38531
248	12752	38463
249	12792	38376
250	12848	38340
251	12893	38270
252	12937	38197
253	12984	38136
254	13034	38079
255	13077	38007
256	13119	37930
257	13172	37883
258	13216	37813
259	13254	37723
260	13300	37658
261	13339	37575
262	13383	37503
263	13423	37424
264	13466	37350
265	13508	37275
266	13550	37200
267	13599	37144
268	13645	37080
269	13685	37001
270	13734	36947
271	13782	36887
272	13821	36807
273	13860	36725
274	13899	36644
275	13938	36563
276	13981	36493
277	14033	36446
278	14077	36379
279	14121	36313
280	14162	36236
281	14225	36218
282	14264	36140
283	14306	36068
284	14346	35993
285	14398	35945
286	14439	35871
287	14481	35800
288	14523	35729
289	14567	35665
290	14618	35617
291	14664	35557
292	14716	35510
293	14772	35473
294	14825	35431
295	14887	35408
296	14941	35366
297	14998	35332
298	15061	35310
299	15117	35273
